id,drawdate,num_1,num_2,num_3,num_4,num_5,created_at,updated_at
1,2007-01-01,27,38,9,11,28,2007-01-01 00:00:00.0000,2007-01-01 00:00:00.0000
2,2007-01-02,33,2,37,12,36,2007-01-02 00:00:00.0000,2007-01-02 00:00:00.0000
3,2007-01-03,23,22,30,29,27,2007-01-03 00:00:00.0000,2007-01-03 00:00:00.0000
4,2007-01-04,23,39,32,9,3,2007-01-04 00:00:00.0000,2007-01-04 00:00:00.0000
5,2007-01-05,26,13,12,9,15,2007-01-05 00:00:00.0000,2007-01-05 00:00:00.0000
6,2007-01-08,11,24,13,8,39,2007-01-08 00:00:00.0000,2007-01-08 00:00:00.0000
7,2007-01-09,8,17,28,14,5,2007-01-09 00:00:00.0000,2007-01-09 00:00:00.0000
8,2007-01-10,34,5,30,38,35,2007-01-10 00:00:00.0000,2007-01-10 00:00:00.0000
9,2007-01-11,37,15,18,20,7,2007-01-11 00:00:00.0000,2007-01-11 00:00:00.0000
10,2007-01-12,26,23,21,6,33,2007-01-12 00:00:00.0000,2007-01-12 00:00:00.0000
11,2007-01-15,15,13,20,25,1,2007-01-15 00:00:00.0000,2007-01-15 00:00:00.0000
12,2007-01-16,27,6,13,31,32,2007-01-16 00:00:00.0000,2007-01-16 00:00:00.0000
13,2007-01-17,30,27,26,11,25,2007-01-17 00:00:00.0000,2007-01-17 00:00:00.0000
14,2007-01-18,22,28,10,20,15,2007-01-18 00:00:00.0000,2007-01-18 00:00:00.0000
15,2007-01-19,21,17,10,11,38,2007-01-19 00:00:00.0000,2007-01-19 00:00:00.0000
16,2007-01-22,10,13,15,39,28,2007-01-22 00:00:00.0000,2007-01-22 00:00:00.0000
17,2007-01-23,17,39,30,24,7,2007-01-23 00:00:00.0000,2007-01-23 00:00:00.0000
18,2007-01-24,15,34,23,4,3,2007-01-24 00:00:00.0000,2007-01-24 00:00:00.0000
19,2007-01-25,10,24,8,14,21,2007-01-25 00:00:00.0000,2007-01-25 00:00:00.0000
20,2007-01-26,36,10,6,37,8,2007-01-26 00:00:00.0000,2007-01-26 00:00:00.0000
21,2007-01-29,17,3,38,11,8,2007-01-29 00:00:00.0000,2007-01-29 00:00:00.0000
22,2007-01-30,15,10,27,12,5,2007-01-30 00:00:00.0000,2007-01-30 00:00:00.0000
23,2007-01-31,15,3,4,34,29,2007-01-31 00:00:00.0000,2007-01-31 00:00:00.0000
24,2007-02-01,18,36,25,26,13,2007-02-01 00:00:00.0000,2007-02-01 00:00:00.0000
25,2007-02-02,6,12,11,35,15,2007-02-02 00:00:00.0000,2007-02-02 00:00:00.0000
