id,drawdate,num_1,num_2,num_3,num_4,num_5,created_at,updated_at
4803,2023-01-02,8,10,25,12,6,2023-01-02 00:00:00.0000,2023-01-02 00:00:00.0000
4804,2023-01-03,14,12,34,30,25,2023-01-03 00:00:00.0000,2023-01-03 00:00:00.0000
4805,2023-01-04,29,8,31,36,18,2023-01-04 00:00:00.0000,2023-01-04 00:00:00.0000
4806,2023-01-05,17,26,39,36,29,2023-01-05 00:00:00.0000,2023-01-05 00:00:00.0000
4807,2023-01-06,30,38,10,35,39,2023-01-06 00:00:00.0000,2023-01-06 00:00:00.0000
4808,2023-01-07,6,8,30,23,3,2023-01-07 00:00:00.0000,2023-01-07 00:00:00.0000
4809,2023-01-09,6,34,30,31,13,2023-01-09 00:00:00.0000,2023-01-09 00:00:00.0000
4810,2023-01-10,22,2,18,29,8,2023-01-10 00:00:00.0000,2023-01-10 00:00:00.0000
4811,2023-01-11,34,31,23,26,35,2023-01-11 00:00:00.0000,2023-01-11 00:00:00.0000
4812,2023-01-12,29,26,3,37,14,2023-01-12 00:00:00.0000,2023-01-12 00:00:00.0000
4813,2023-01-13,26,9,31,4,29,2023-01-13 00:00:00.0000,2023-01-13 00:00:00.0000
4814,2023-01-14,29,12,23,8,4,2023-01-14 00:00:00.0000,2023-01-14 00:00:00.0000
4815,2023-01-16,29,7,12,4,11,2023-01-16 00:00:00.0000,2023-01-16 00:00:00.0000
4816,2023-01-17,39,6,4,26,28,2023-01-17 00:00:00.0000,2023-01-17 00:00:00.0000
4817,2023-01-18,12,34,39,18,6,2023-01-18 00:00:00.0000,2023-01-18 00:00:00.0000
4818,2023-01-19,1,12,34,3,28,2023-01-19 00:00:00.0000,2023-01-19 00:00:00.0000
4819,2023-01-20,15,19,25,5,6,2023-01-20 00:00:00.0000,2023-01-20 00:00:00.0000
4820,2023-01-21,12,8,28,35,14,2023-01-21 00:00:00.0000,2023-01-21 00:00:00.0000
4821,2023-01-23,13,22,14,4,12,2023-01-23 00:00:00.0000,2023-01-23 00:00:00.0000
4822,2023-01-24,6,8,16,19,31,2023-01-24 00:00:00.0000,2023-01-24 00:00:00.0000
